548,Epclusa,"Sofosbuvirum +
Velpatasvirum",tabletki powlekane,"400 mg + 100
mg",28 tabl.,5391507142108,Rpz,"Gilead Sciences
International Ltd.","Gilead Sciences Ireland
UC",IE
549,Eperzan,Albiglutidum,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",30 mg,"4 wstrzykiwacze po 0,5 ml + 4
igły
12 wstrzykiwaczy",,"Rp
Rp","GlaxoSmithKline Trading
Services Limited",Glaxo Operations UK Ltd,GB
550,Eperzan,Albiglutidum,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",50 mg,"4 wstrzykiwacze po 0,5 ml + 4
igły
12 wstrzykiwaczy 0,5 ml",,"Rp
Rp","GlaxoSmithKline Trading
Services Limited",Glaxo Operations UK Ltd,GB
551,Episalvan,Betulae succus,,100 mg,"1 tuba 23,4 g",,Rp,Birken AG,Birken AG,DE
552,Epivir,Lamivudinum,roztwór doustny,10 mg/ml,1 butelka,,Rpz,ViiV Healthcare UK Ltd.,"Aspen Bad Oldesloe
GmbH",DE
553,Epivir,Lamivudinum,tabletki powlekane,150 mg,"60 tabl. w blistrze
60 tabl. w butelce",5909990001637,"Rpz
Rpz",ViiV Healthcare UK Ltd.,"Glaxo Wellcome
Operations
GlaxoSmithKline
Pharmaceuticals S.A.","GB
PL"
554,Epivir,Lamivudinum,tabletki powlekane,300 mg,"30 tabl. w butelce
30 tabl. w blistrze","5909990001644
5909990001651","Rpz
Rpz",ViiV Healthcare UK Ltd.,"Glaxo Wellcome
Operations
GlaxoSmithKline
Pharmaceuticals S.A.","GB
PL"
555,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"1000 j.m./0,5
ml","1 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml","5909990072569
5909990072576","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
556,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,2000 j.m./ml,"1 amp.-strzyk. 1 ml
6 amp.-strzyk. 1 ml","5909990072583
5909990072590","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
557,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"3000 j.m./0,3
ml","1 amp.-strzyk. 0,3 ml
6 amp.-strzyk. 0,3 ml","5909990072606
5909990072620","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
558,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"4000 j.m./0,4
ml","1 amp.-strzyk. 0,4 ml
6 amp.-strzyk. 0,4 ml","5909990072637
5909990072644","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
559,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"5000 j.m./0,5
ml","1 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml","5909990072651
5909990072668","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
560,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"6000 j.m./0,6
ml","1 amp.-strzyk. 0,6 ml
6 amp.-strzyk. 0,6 ml","5909990072675
5909990072682","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
561,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,10 000 j.m./ml,"1 amp.-strzyk. 1 ml
6 amp.-strzyk. 1 ml","5909990072781
5909990072798","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
562,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"20 000
j.m./0,5 ml","1 amp.-strzyk. 0,5 ml
4 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml","5909990737741
5909990737758","Rpz
Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
563,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"30 000
j.m./0,75 ml","1 amp.-strzyk. 0,75 ml
4 amp.-strzyk. 0,75 ml
6 amp.-strzyk. 0,75 ml","5909990737765
5909990737772","Rpz
Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
564,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,40 000 j.m./ml,"1 amp.-strzyk. 1 ml
4 amp.-strzyk. 1 ml
6 amp.-strzyk. 1 ml","5909990737789
5909990737796","Rpz
Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
565,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"7000 j.m./0,7
ml","1 amp.-strzyk. 0,7 ml
6 amp.-strzyk. 0,7 ml","5909990744640
5909990744657","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
566,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"8000 j.m./0,8
ml","1 amp.-strzyk. 0,8 ml
6 amp.-strzyk. 0,8 ml","5909990072699
5909990072705","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
567,Epoetin alfa Hexal,Epoetinum alfa,roztwór do wstrzykiwań,"9000 j.m./0,9
ml","1 amp.-strzyk. 0,9 ml
6 amp.-strzyk. 0,9 ml","5909990744664
5909990744671","Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
568,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,"1000 j.m/0,5
ml","6 amp.-strzyk. 0,5 ml z
bezpieczną igłą
6 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml z zest.
zabezp.","5909990823079
5909990823086","Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
569,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,"2000 j.m./0,5
ml","6 amp.-strzyk. 0,5 ml z
bezpieczną igłą
6 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml z zest.
zabezp.","5909990823093
5909990823109","Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
570,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,"3000 j.m./0,5
ml","6 amp.-strzyk. 0,5 ml z
bezpieczną igłą
6 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml z zest.
zabezp.","5909990823130
5909990823147","Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
571,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,"4000 j.m./0,5
ml","6 amp.-strzyk. 0,5 ml z
bezpieczną igłą
6 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml z zest.
zabezp.","5909990823154
5909990823161","Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
572,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,10000 j.m./ml,"1 amp.-strzyk. 1 ml z
bezpieczną igłą
1 amp.-strzyk. 1 ml
1 amp.-strzyk. 1 ml z zest.
zabezp.
4 amp.-strzyk. 1 ml z
bezpieczną igłą
4 amp.-strzyk. 1 ml
4 amp.-strzyk. 1 ml z zest.
zabezp.
6 amp.-strzyk. 1 ml z
bezpieczną igłą
6 amp.-strzyk. 1 ml
6 amp.-strzyk. 1 ml z zest.
zabezp.","5909990823192
5909990823208
5909990823222
5909990823239
5909990823246
5909990823253","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
573,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,20000 j.m./ml,"1 amp.-strzyk. 1 ml z
bezpieczną igłą
1 amp.-strzyk. 1 ml
1 amp.-strzyk. 1 ml z zest.
zabezp.
4 amp.-strzyk. 1 ml z
bezpieczną igłą
4 amp.-strzyk. 1 ml
4 amp.-strzyk. 1 ml z zest.
zabezp.
6 amp.-strzyk. 1 ml z
bezpieczną igłą
6 amp.-strzyk. 1 ml
6 amp.-strzyk. 1 ml z zest.
zabezp.","5909990823260
5909990823277
5909990823284
5909990823291
5909990823307
5909990823345","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
574,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,30000 j.m./ml,"1 amp.-strzyk. 1 ml z
bezpieczną igłą
1 amp.-strzyk. 1 ml
1 amp.-strzyk. 1 ml z zest.
zabezp.
4 amp.-strzyk. 1 ml z
bezpieczną igłą
4 amp.-strzyk. 1 ml
4 amp.-strzyk. 1 ml z zest.
zabezp.
6 amp.-strzyk. 1 ml z
bezpieczną igłą
6 amp.-strzyk. 1 ml
6 amp.-strzyk. 1 ml z zest.
zabezp.","5909990823376
5909990823383
5909990823390
5909990823406
5909990823420
5909990823437","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
575,Eporatio,Epoetinum theta,roztwór do wstrzykiwań,"5000 j.m./0,5
ml","6 amp.-strzyk. 0,5 ml z
bezpieczną igłą
6 amp.-strzyk. 0,5 ml
6 amp.-strzyk. 0,5 ml z zest.
zabezp.","5909990823178
5909990823185","Rpz
Rpz
Rpz",ratiopharm GmbH,Teva Biotech GmbH,DE
576,Eptifibatide Accord,Eptifibatidum,roztwór do infuzji,"0,75 mg/ml",1 fiol. 100 ml,,Rpz,Accord Healthcare Limited,"Accord Healthcare
Limited
Wessling Hungary Kft.","GB
HU"
577,Eptifibatide Accord,Eptifibatidum,roztwór do wstrzykiwań,2 mg/ml,1 fiol. 10 ml,5055565726419,Rpz,Accord Healthcare Limited,"Accord Healthcare
Limited
Wessling Hungary Kft.","GB
HU"
578,Erbitux,Cetuximabum,roztwór do infuzji,5 mg/ml,"1 fiol. 20 ml
1 fiol. 100 ml","5909990035922
5909990035946","Rpz
Rpz",Merck KGaA,Merck KGaA,DE
579,Erivedge,Vismodegibum,kapsułki twarde,150 mg,28 kaps.,5902768001020,Rpz,Roche Registration Ltd.,Roche Pharma AG,DE
580,Esbriet,Pirfenidonum,kapsułki twarde,267 mg,"63 kaps.
252 kaps.
270 kaps.","5902768001112
5902768001129","Rpz
Rpz
Rpz",Roche Registration Ltd.,Roche Pharma AG,DE
581,Esmya,Ulipristalum,tabletki,5 mg,"28 tabl.
28 tabl.
30 tabl.
84 tabl.
84 tabl.",5909990958436,"Rp
Rp
Rp
Rp
Rp",Gedeon Richter Plc.,"Cenexi
Gedeon Richter Plc.","FR
HU"
582,Eucreas,"Vildagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"50 mg + 850
mg","10 tabl.
30 tabl.
60 tabl.
120 tabl.
120 tabl.
120 tabl. (2 x 60)
120 tabl. (2 x 60)
180 tabl.
180 tabl.
180 tabl. (3 x 60)
180 tabl. (3 x 60)
360 tabl.
360 tabl.
360 tabl. (6 x 60)
360 tabl. (6 x 60)","5909990082674
5909990082681
5909990082698","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
583,Eucreas,"Vildagliptinum +
Metformini
hydrochloridum",tabletki powlekane,"50 mg + 1000
mg","10 tabl.
30 tabl.
60 tabl.
120 tabl. (2 x 60)
120 tabl.
120 tabl.
120 tabl. (2 x 60)
180 tabl. (3 x 60)
180 tabl.
180 tabl.
180 tabl. (3 x 60)
360 tabl. (6 x 60)
360 tabl.
360 tabl.
360 tabl. (6 x 60)","5909990082704
5909990082728
5909990082735","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
584,Eurartesim,"Piperaquini
tetraphosphas +
Dihydroartemisininum",tabletki powlekane,"160 mg + 20
mg",3 tabl.,,Rp,"Sigma-Tau Industrie
Farmaceutiche Riunite
S.p.A","Sigma-tau Industrie
Farmaceutiche Riunite
S.p.A.",IT
585,Eurartesim,"Piperaquini
tetraphosphas +
Dihydroartemisininum",tabletki powlekane,"320 mg + 40
mg","3 tabl.
6 tabl.
9 tabl.
12 tabl.",,"Rp
Rp
Rp
Rp","Sigma-Tau Industrie
Farmaceutiche Riunite
S.p.A","Sigma-tau Industrie
Farmaceutiche Riunite
S.p.A.",IT
586,Evarrest,"Fibrinogenum humanum
+ Trombinum humanum","roztwór do sporządzania
kleju do tkanek","(8,1 mg + 40
j.m.)/ cm2","1 sasz.
1 sasz.",,"Rpz
Rpz","Omrix Biopharmaceuticals
N.V.","Omrix
Biopharmaceuticals N.V.",IL
587,Evicel,"Fibrinogenum humanum
+ Trombinum humanum","roztwór do sporządzania
kleju do tkanek","(50-90 mg +
800-1200
j.m.)/ ml","2 fiol. 1 ml
2 fiol. 2 ml
2 fiol. 5 ml","5909990782109
5909990782123
5909990782130","Rpz
Rpz
Rpz","Omrix Biopharmaceuticals
N.V.","Omrix
Biopharmaceuticals Ltd.",IL
588,Eviplera,"Emtricitabinum +
Rilpivirinum + Tenofoviri
disoproxil",tabletka powlekana,"25 mg + 200
mg + 245 mg","30 tabl.
90 tabl.","5909990932481
5909990932498","Rpz
Rpz","Gilead Sciences
International Ltd.","Gilead Sciences Ireland
UC",IE
589,Evista,Raloxifenum,tabletki powlekane,60 mg,"14 tabl.
28 tabl.
84 tabl.
100 tabl.","5909990000753
5909990443116
5909990000760
5909990000777","Rp
Rp
Rp
Rp","Daiichi Sankyo Europe
GmbH",Lilly S.A.,ES
590,Evoltra,Clofarabinum,"koncentrat do
sporządzania roztworu do
infuzji",1 mg/ml,"1 fiol. 20 ml
3 fiol. 20 ml
4 fiol. 20 ml
10 fiol. 20 ml
20 fiol. 20 ml","5909990710997
5909990634996
5909990635009
5909990635016
5909990635023","Rpz
Rpz
Rpz
Rpz
Rpz",Genzyme Europe B.V.,"Pharmachemie B.V.
Genzyme Ltd.","NL
GB"
591,Evotaz,"Atazanavirum +
Cobicistatum",tabletki powlekane,"300 mg + 150
mg","30 tabl.
90 tabl.","5909991224400
5909991224417","Rpz
Rpz","Bristol-Myers Squibb
Pharma EEIG","Bristol Myers Squibb
S.r.l.",IT
592,Evra,"Norelgestrominum +
Ethinylestradiolum",system transdermalny,"6 mg + 600
mcg (150
mcg + 20
mcg)/24 h","3 plastry
9 plastrów
18 plastrów","5909990997312
5909990997329
5909990997336","Rp
Rp
Rp","Janssen-Cilag
International N.V.","Janssen Pharmaceutica
N.V.",BE
593,Exelon,Rivastigminum,kapsułki twarde,"1,5 mg","28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990781119
5909990781126
5909990781133
5909990000906","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
594,Exelon,Rivastigminum,kapsułki twarde,3 mg,"28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990781218
5909990781225
5909990781232
5909990000944","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
595,Exelon,Rivastigminum,kapsułki twarde,"4,5 mg","28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990781317
5909990781324
5909990781331
5909990000951","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
596,Exelon,Rivastigminum,kapsułki twarde,6 mg,"28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990781416
5909990781423
5909990781430
5909990000968","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
597,Exelon,Rivastigminum,roztwór doustny,2 mg/ml,"1 butelka 50 ml
1 butelka 120 ml","5909990000975
5909990454310","Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
598,Exelon,Rivastigminum,system transdermalny,"4,6 mg/24 h","7 sasz.
30 sasz.
42 sasz.
60 sasz.
84 sasz.
90 sasz.","5909990066698
5909990066704
5909991138226
5909991138233
5909991138240
5909991138257","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
599,Exelon,Rivastigminum,system transdermalny,"9,5 mg/24 h","7 sasz.
30 sasz.
42 sasz.
60 sasz.
84 sasz.
90 sasz.","5909990066759
5909990066766
5909991138264
5909991138271
5909991138288
5909991138295","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
600,Exelon,Rivastigminum,system transdermalny,"13,3 mg/24 h","7 sasz.
30 sasz.
60 sasz.
90 sasz.","5909991032593
5909991032609
5909991032630
5909991032647","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
601,Exforge,"Amlodipinum +
Valsartanum",tabletki powlekane,5 mg + 80 mg,"7 tabl.
14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)","5909990047505
5909990036707
5909990036776
5909990036783","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
602,Exforge,"Amlodipinum +
Valsartanum",tabletki powlekane,"5 mg + 160
mg","7 tabl.
14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)","5909990047536
5909990036790
5909990036806
5909990036844","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
603,Exforge,"Amlodipinum +
Valsartanum",tabletki powlekane,"10 mg + 160
mg","7 tabl.
14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)","5909990047543
5909990036851
5909990036868
5909990036875","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
604,Exforge HCT,"Amlodipinum +
Valsartanum +
Hydrochlorothiazidum",tabletki powlekane,"10 mg + 160
mg + 12,5 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl. (56 x 1)
56 tabl.
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)
280 tabl. (20 x 14)","5909990771806
5909990771837
5909990771844
5909990771882
5909990771851
5909990771868
5909990771875","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
605,Exforge HCT,"Amlodipinum +
Valsartanum +
Hydrochlorothiazidum",tabletki powlekane,"5 mg + 160
mg + 25 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)
280 tabl. (20 x 14)","5909990771738
5909990771745
5909990771752
5909990771769
5909990771776
5909990771783
5909990771790","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
606,Exforge HCT,"Amlodipinum +
Valsartanum +
Hydrochlorothiazidum",tabletki powlekane,"10 mg + 160
mg + 25 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)
280 tabl. (20 x 14)","5909990729401
5909990771493
5909990771509
5909990771516
5909990771523
5909990771530
5909990771547","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
607,Exforge HCT,"Amlodipinum +
Valsartanum +
Hydrochlorothiazidum",tabletki powlekane,"10 mg + 320
mg + 25 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)
280 tabl. (20 x 14)","5909990771554
5909990771561
5909990771578
5909990771585
5909990771592
5909990771608
5909990771639","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
608,Exforge HCT,"Amlodipinum +
Valsartanum +
Hydrochlorothiazidum",tabletki powlekane,"5 mg +160
mg +12,5 mg","14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
90 tabl.
98 tabl.
98 tabl. (98 x 1)
280 tabl.
280 tabl. (280 x 1)
280 tabl. (4 x 70)
280 tabl. (20 x 14)","5909990771646
5909990771653
5909990771660
5909990771677
5909990771684
5909990771691
5909990771707","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
609,Exjade,Deferasiroxum,"tabletki do sporządzania
zawiesiny doustnej",125 mg,"28 tabl.
84 tabl.
252 tabl.","5909990613007
5909990613014
5909990686971","Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
610,Exjade,Deferasiroxum,"tabletki do sporządzania
zawiesiny doustnej",250 mg,"28 tabl.
84 tabl.
252 tabl.","5909990613021
5909990613038
5909990686988","Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
611,Exjade,Deferasiroxum,"tabletki do sporządzania
zawiesiny doustnej",500 mg,"28 tabl.
84 tabl.
252 tabl.
294 tabl.","5909990613045
5909990613052
5909990686995","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
612,Exjade,Deferasiroxum,tabletki powlekane,90 mg,"30 tabl.
90 tabl.
300 tabl.",5909991281342,"Rpz
Rpz
Rpz","Novartis Europharm
Limited",Novartis Pharma GmbH,DE
613,Exjade,Deferasiroxum,tabletki powlekane,180 mg,"30 tabl.
90 tabl.
300 tabl.",5909991281359,"Rpz
Rpz
Rpz","Novartis Europharm
Limited",Novartis Pharma GmbH,DE
614,Exjade,Deferasiroxum,tabletki powlekane,360 mg,"30 tabl.
90 tabl.
300 tabl.",5909991281366,"Rpz
Rpz
Rpz","Novartis Europharm
Limited",Novartis Pharma GmbH,DE
615,Extavia,Interferonum beta-1b,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",250 mcg/ml,"5 fiol. proszku + 5 amp.-strzyk.
rozp.
15 fiol. proszku + 15 amp.-
strzyk. (luer lock) rozp.
14 fiol. proszku + 14 amp.-
strzyk. rozp.
14 fiol. proszku + 15 amp.-
strzyk. rozp.
42 fiol. proszku + 45 amp.-
strzyk. rozp.
42 fiol. proszku + 42 amp.-
strzyk. rozp.
45 fiol. proszku + 45 amp.-
strzyk. rozp.",5909990650996,"Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
616,Exviera,Dasabuvirum,tabletki powlekane,250 mg,56 tabl.,8054083006499,Rpz,AbbVie Ltd,"AbbVie Deutschland
GmbH & Co. KG",DE
617,Eylea,Afliberceptum,roztwór do wstrzykiwań,40 mg/ml,"1 amp.-strzyk.
1 fiol.","3837000137101
3837000137095","Rpz
Rpz",Bayer Pharma AG,"Bayer Pharma AG
GP Grenzach
Produktions GmbH","DE
DE"
618,Fabrazyme,Agalsidasum beta,"proszek do przygotowania
koncentratu do
sporządzania roztworu do
infuzji",5 mg,"1 fiol.
5 fiol.
10 fiol.","5909990013654
5909990013661
5909990013678","Rpz
Rpz
Rpz",Genzyme Europe B.V,"Genzyme Ltd.
Genzyme Ireland Limited","GB
IE"
619,Fabrazyme,Agalsidasum beta,"proszek do przygotowania
koncentratu do
sporządzania roztworu do
infuzji",35 mg,"1 fiol.
5 fiol.
10 fiol.","5909990971213
5909991298548
5909991298555","Rpz
Rpz
Rpz",Genzyme Europe B.V,"Genzyme Ltd.
Genzyme Ireland Limited","GB
IE"
620,Fampyra,Fampridinum,"tabletka o przedłużonym
uwalnianiu",10 mg,"28 tabl. w butelce
28 tabl. w blistrze
56 tabl. w butelce
56 tabl. w blistrze","5909991053499
5909991053529
5909991053505
5909991053536","Rpz
Rpz
Rpz
Rpz",Biogen Idec Limited,"Alkermes Pharma
Ireland Ltd
Biogen Denmark
Manufacturing ApS","IE
DK"
621,Fareston,Toremifenum,tabletki,60 mg,"30 tabl.
100 tabl.","5909991024710
5909991024727","Rp
Rp",Orion Corporation,"Orion Corporation Orion
Pharma",FI
622,Farydak,Panobinostatum,kapsułki twarde,10 mg,"6 kaps.
12 kaps.
24 kaps.","5909991231545
5909991231552
5909991231569","Rpz
Rpz
Rpz","Novartis Europharm
Limited",Novartis Pharma GmbH,DE
623,Farydak,Panobinostatum,kapsułki twarde,15 mg,"6 kaps.
12 kaps.
24 kaps.","5909991231590
5909991231606
5909991231613","Rpz
Rpz
Rpz","Novartis Europharm
Limited",Novartis Pharma GmbH,DE
624,Farydak,Panobinostatum,kapsułki twarde,20 mg,"6 kaps.
12 kaps.
24 kaps.","5909991231620
5909991231637
5909991231644","Rpz
Rpz
Rpz","Novartis Europharm
Limited",Novartis Pharma GmbH,DE
625,Faslodex,Fulvestrantum,roztwór do wstrzykiwań,250 mg/5 ml,"1 amp.-strzyk. 5 ml
2 amp.-strzyk. 5 ml","5909990002078
5909990768875","Rp
Rp",AstraZeneca UK Ltd.,AstraZeneca UK Ltd.,GB
626,Fasturtec,Rasburicasum,"proszek i rozpuszczalnik
do przygotowania
koncentratu do
sporządzania roztworu do
infuzji dożylnych","1,5 mg/ml","1 fiol. 7,5 mg + 1 amp. rozp.
3 fiol. 1,5 mg + 3 amp. rozp.","5909990943128
5909990943111","Rpz
Rpz",Sanofi-Aventis Groupe,"Glaxo Wellcome
Production
Sanofi-Aventis S.p.A.","FR
IT"
627,Fendrix,"Szczepionka przeciw
wirusowemu zapaleniu
wątroby typu B (rDNA)",zawiesina do wstrzykiwań,,"1 amp.-strzyk. + igła
1 amp.-strzyk.
10 amp.-strzyk.","5909990213702
5909990213740
5909990213757","Rp
Rp
Rp","GlaxoSmithKline
Biologicals S.A.","GlaxoSmithKline
Biologicals S.A.",BE
628,Feraccru,Ferrum,kapsułki twarde,30 mg,56 kaps.,,Rp,Shield TX (UK) Limited,"Piramal Healthcare UK
Limited",GB
629,Ferriprox,Deferipronum,roztwór doustny,100 mg/ml,"1 butelka 250 ml
1 butelka 500 ml",,"Rpz
Rpz",Apotex Europe B.V.,Apotex Nederland B.V.,NL
630,Ferriprox,Deferipronum,tabletki powlekane,1000 mg,"50 tabl. w butelce
100 tabl. w butelce
50 tabl. w blistrze",,"Rpz
Rpz
Rpz",Apotex Europe B.V.,Apotex Nederland B.V.,NL
631,Ferriprox,Deferipronum,tabletki powlekane,500 mg,100 tabl.,,Rpz,Apotex Europe B.V.,Apotex Nederland B.V.,NL
632,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"50 j.m./0,5 ml","1 fiol. 0,5 ml
5 fiol. 0,5 ml
10 fiol. 0,5 ml","5909990684397
5909990684403
5909990684427","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
